flow,protocol,path,hops,ospf_cost,as_path
R1->R11,RIP,R1-R2-R5-R7-R11,4,22,100 200 400
R1->R11,OSPF,R1-R2-R5-R6-R7-R11,5,14,100 200 400
R1->R11,BGP,R1-R2-R4-R9-R10-R12-R11,6,51,100 300 400
R1->R12,RIP,R1-R3-R8-R10-R12,4,130,100 300 400
R1->R12,OSPF,R1-R2-R5-R6-R7-R11-R12,6,15,100 200 400
R1->R12,BGP,R1-R2-R4-R9-R10-R12,5,50,100 300 400
R2->R12,RIP,R2-R4-R9-R10-R12,4,40,100 300 400
R2->R12,OSPF,R2-R5-R6-R7-R11-R12,5,5,100 200 400
R2->R12,BGP,R2-R4-R9-R10-R12,4,40,100 300 400
R3->R11,RIP,R3-R8-R10-R12-R11,4,121,100 300 400
R3->R11,OSPF,R3-R1-R2-R5-R6-R7-R11,6,24,100 200 400
R3->R11,BGP,R3-R4-R9-R10-R12-R11,5,41,100 300 400
